Company,Timeframe,Random (%),LR (%),XGBoost (%),QuantAgent(%),Best Model
RELIANCE,Daily,49.97,47.34,60.53,57.41,XGBoost
RELIANCE,Weekly,50.52,36.67,48.78,88.24,QuantAgent
TCS,Daily,49.83,55.07,60.53,61.11,QuantAgent
TCS,Weekly,49.76,58.33,63.41,88.24,QuantAgent
INFY,Daily,49.93,45.89,67.54,62.96,XGBoost
INFY,Weekly,50.13,23.33,60.98,76.47,QuantAgent
HDFCBANK,Daily,49.82,52.66,65.79,64.81,XGBoost
HDFCBANK,Weekly,49.72,63.33,39.02,35.29,LR
ICICIBANK,Daily,50.06,49.28,61.4,61.11,XGBoost
ICICIBANK,Weekly,50.24,51.67,48.78,47.06,LR
HINDUNILVR,Daily,49.92,52.66,39.47,53.7,QuantAgent
HINDUNILVR,Weekly,50.3,26.67,63.41,64.71,QuantAgent
SBIN,Daily,49.79,35.75,59.65,50.0,XGBoost
SBIN,Weekly,50.18,58.33,34.15,64.71,QuantAgent
BHARTIARTL,Daily,49.86,52.17,48.25,66.67,QuantAgent
BHARTIARTL,Weekly,49.65,53.33,36.59,11.76,LR
ITC,Daily,50.01,64.73,55.26,61.11,LR
ITC,Weekly,49.59,58.33,63.41,52.94,XGBoost
KOTAKBANK,Daily,50.16,46.38,55.26,57.41,QuantAgent
KOTAKBANK,Weekly,48.9,55.0,43.9,23.53,LR
LT,Daily,50.13,39.13,57.02,53.7,XGBoost
LT,Weekly,49.98,53.33,46.34,58.82,QuantAgent
AXISBANK,Daily,49.87,46.38,48.25,61.11,QuantAgent
AXISBANK,Weekly,49.42,48.33,34.15,29.41,Random
ASIANPAINT,Daily,49.81,48.31,54.39,55.56,QuantAgent
ASIANPAINT,Weekly,50.03,35.0,51.22,47.06,XGBoost
MARUTI,Daily,50.11,43.48,56.14,59.26,QuantAgent
MARUTI,Weekly,50.18,50.0,48.78,23.53,Random
SUNPHARMA,Daily,50.12,47.83,57.89,70.37,QuantAgent
SUNPHARMA,Weekly,50.11,58.33,58.54,76.47,QuantAgent
TITAN,Daily,50.04,38.16,71.93,59.26,XGBoost
TITAN,Weekly,50.5,60.0,43.9,70.59,QuantAgent
ULTRACEMCO,Daily,49.82,45.89,55.26,51.85,XGBoost
ULTRACEMCO,Weekly,50.02,48.33,60.98,35.29,XGBoost
WIPRO,Daily,49.94,50.24,50.88,62.96,QuantAgent
WIPRO,Weekly,49.74,33.33,48.78,58.82,QuantAgent
NESTLEIND,Daily,50.27,36.71,67.54,64.81,XGBoost
NESTLEIND,Weekly,49.7,45.0,58.54,41.18,XGBoost
POWERGRID,Daily,49.81,49.76,63.16,62.96,XGBoost
POWERGRID,Weekly,50.2,38.33,60.98,64.71,QuantAgent
BAJFINANCE,Daily,49.72,52.17,58.77,62.96,QuantAgent
BAJFINANCE,Weekly,49.62,53.33,26.83,35.29,LR
HCLTECH,Daily,49.7,49.28,57.89,64.81,QuantAgent
HCLTECH,Weekly,50.0,38.33,53.66,47.06,XGBoost
DRREDDY,Daily,50.01,45.89,55.26,57.41,QuantAgent
DRREDDY,Weekly,50.11,35.0,68.29,94.12,QuantAgent
ONGC,Daily,50.05,50.24,50.88,57.41,QuantAgent
ONGC,Weekly,49.44,58.33,41.46,17.65,LR
NTPC,Daily,50.12,52.17,64.91,55.56,XGBoost
NTPC,Weekly,49.88,45.0,48.78,29.41,Random
